year_of_birth,gender,education_level,social_stratum,nationality,department,municipality,id_last_four,last_name_initial,form,score,video,fake_news_a,fake_news_b,fake_news_c,fake_news_d,fake_news_e,fake_news_f,fake_news_g,fake_news_h,fake_news_i,fake_news_j,fake_news_k,fake_news_l,fake_news_m,fake_news_n,fake_news_o,fake_news_p,fake_news_q,fake_news_r,fake_news_s,tweet_a_lack_of_information,tweet_a_report,tweet_b_lack_of_information,tweet_b_report,headline_1,headline_2,headline_3,headline_4,headline_5,headline_6,headline_7,headline_8,ie_confidence_a,ie_confidence_b,ie_confidence_c,ie_confidence_d,ie_confidence_e,ie_confidence_f,ie_confidence_g,ie_confidence_h,ie_confidence_i,ie_discrimination_a,ie_discrimination_b,ie_discrimination_c,ie_discrimination_d,ie_discrimination_e,ie_discrimination_f,ie_ambiguity_tolerance_a,ie_ambiguity_tolerance_b,ie_ambiguity_tolerance_c,ie_ambiguity_tolerance_d,ie_ambiguity_tolerance_e,ie_ambiguity_tolerance_f,ie_ambiguity_tolerance_g,ie_ambiguity_tolerance_h,ie_ambiguity_tolerance_i,ie_ambiguity_tolerance_j,ie_dehumanization_left,ie_dehumanization_center,ie_dehumanization_right,duration,date
1998,Mujer,Técnico / Tecnológico,Estrato 2,Colombia,Cundinamarca,Madrid,7013,P,Deshumanización,5,Sí,3,4,2,3,1,3,4,2,5,3,4,2,4,4,4,4,4,2,4,1,1,1,1,,,1,,,1,,1,3,3,4,1,1,3,2,3,3,4,4,3,4,3,4,5,2,4,3,5,5,5,4,3,5,"Extroversión,Sorpresa,Orgullo,Timidez,Trabajo,Educación","Tensión,Timidez,Impresión,Amistad,Emoción,Compasión","Educación,Trabajo,Aburrición,Imprudencia,Timidez,Sospecha",,
1995,Hombre,Bachillerato,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,5467,Y,Deshumanización,4,No,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,1,1,1,1,,1,,,,1,,1,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,4,4,4,3,4,"Extroversión,Arrepentimiento,Vergüenza,Orgullo,Educación,Emoción","Nostalgia,Orgullo,Emoción,Timidez,Extroversión,Agitación","Arrepentimiento,Cordialidad,Orgullo,Sorpresa,Dedicación,Amistad",,
1998,Hombre,Bachillerato,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,7884,J,Tolerancia a la ambigüedad,3.5999999,No,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,,,,,,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,"Agitación,Emoción,Impresión,Arrepentimiento,Disciplina,Trabajo","Amistad,Timidez,Vergüenza,Cordialidad,Orgullo,Aburrición","Imprudencia,Amistad,Sorpresa,Inquietud,Disciplina,Nostalgia",,
1998,Mujer,Bachillerato,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,6774,K,,,No,4,4,5,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,1,1,1,1,1,,,1,,,,1,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,"Orgullo,Cordialidad,Imprudencia,Disciplina,Arrepentimiento,Timidez","Impresión,Educación,Sospecha,Disciplina,Amistad,Timidez","Vergüenza,Sospecha,Disciplina,Emoción,Aburrición,Sorpresa",,
1998,Mujer,Técnico / Tecnológico,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,3256,P,Tolerancia a la ambigüedad,3.5999999,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,1,1,1,1,,,1,,,,1,1,4,4,4,1,1,5,5,4,4,4,4,4,4,4,4,5,4,3,4,4,4,4,4,3,4,"Emoción,Extroversión,Amistad,Orgullo,Inquietud,Arrepentimiento","Sospecha,Amistad,Imprudencia,Cordialidad,Inquietud,Sorpresa","Orgullo,Sospecha,Nostalgia,Disciplina,Arrepentimiento,Trabajo",,
1997,Mujer,Bachillerato,Estrato 2,Colombia,Cundinamarca,Funza,5215,V,Tolerancia a la ambigüedad,3.9000001,Sí,5,2,2,3,3,3,3,5,5,4,5,5,4,3,3,5,5,4,5,1,1,1,1,1,,,1,,1,,,5,5,5,1,1,5,5,5,5,3,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,"Emoción,Timidez,Disciplina,Imprudencia,Amistad,Impresión","Sospecha,Timidez,Disciplina,Dedicación,Imprudencia,Tensión","Inquietud,Arrepentimiento,Timidez,Cordialidad,Tensión,Agitación",,
1997,Hombre,Primaria,Estrato 1,Colombia,Bogotá D.C.,Bogotá D.C.,5678,J,,,No,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,,,,,1,1,,4,5,4,1,1,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,5,4,4,"Sospecha,Orgullo,Impresión,Disciplina,Dedicación,Imprudencia","Vergüenza,Orgullo,Extroversión,Educación,Sospecha,Impresión","Aburrición,Timidez,Cordialidad,Trabajo,Inquietud,Sospecha",,
2000,Hombre,Técnico / Tecnológico,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,5000,R,Confianza,.75,No,4,2,5,5,3,3,5,1,1,1,5,1,4,1,5,3,5,4,4,1,1,1,1,1,1,,,,1,,,2,4,3,0,1,1,1,1,2,4,2,1,2,3,4,4,1,2,4,2,3,2,1,4,4,"Trabajo,Educación,Cordialidad,Dedicación,Compasión,Agitación","Inquietud,Cordialidad,Timidez,Compasión,Imprudencia,Emoción","Imprudencia,Sospecha,Sorpresa,Arrepentimiento,Tensión,Inquietud",,
1987,Hombre,Técnico / Tecnológico,Estrato 2,Colombia,Magdalena,Santa Marta,9779,N,Deshumanización,,Sí,1,3,1,1,1,1,1,1,3,2,3,3,3,1,3,1,1,1,3,1,1,1,1,,1,,,,1,,1,4,5,4,1,1,4,4,4,4,1,1,1,1,1,4,1,1,4,4,5,1,3,5,5,5,"Disciplina,Educación,Trabajo,Dedicación,Cordialidad,Orgullo","Nostalgia,Inquietud,Imprudencia,Vergüenza,Sospecha,Arrepentimiento","Imprudencia,Tensión,Vergüenza,Arrepentimiento,Timidez,Inquietud",,
1996,Mujer,Técnico / Tecnológico,Estrato 2,Colombia,Cundinamarca,Madrid,1538,L,,,No,1,1,2,1,2,1,1,2,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,,,,1,,,1,1,2,2,2,0,0,2,2,2,2,3,3,3,3,2,3,3,3,3,3,4,3,3,2,3,4,"Disciplina,Vergüenza,Aburrición,Compasión,Nostalgia,Sospecha","Cordialidad,Dedicación,Educación,Arrepentimiento,Nostalgia,Amistad","Arrepentimiento,Compasión,Cordialidad,Sorpresa,Amistad,Agitación",,
1990,Hombre,Bachillerato,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,6775,J,,,No,4,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,,1,1,,,,,1,3,3,3,1,1,3,4,3,3,3,3,3,3,3,3,4,4,4,4,5,4,4,4,4,4,"Agitación,Sorpresa,Sospecha,Trabajo,Inquietud,Cordialidad","Extroversión,Compasión,Disciplina,Sospecha,Arrepentimiento,Impresión","Educación,Nostalgia,Orgullo,Timidez,Tensión,Compasión",,
1977,Hombre,Título universitario,Estrato 3,Colombia,Atlántico,Puerto Colombia,6762,M,Confianza,,Sí,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,,1,3,3,3,0,1,2,2,1,3,2,2,2,2,2,2,5,5,5,4,5,2,4,4,3,4,"Tensión,Agitación,Orgullo,Aburrición,Imprudencia,Sospecha","Cordialidad,Dedicación,Arrepentimiento,Disciplina,Nostalgia,Educación","Educación,Dedicación,Trabajo,Disciplina,Emoción,Amistad",,
1984,Hombre,Bachillerato,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,8745,G,Deshumanización,3.3299999,No,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,1,1,1,0,,,1,,1,,,1,4,3,4,1,1,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,"Timidez,Compasión,Trabajo,Emoción,Agitación,Inquietud","Sorpresa,Inquietud,Dedicación,Aburrición,Imprudencia,Agitación","Amistad,Disciplina,Trabajo,Impresión,Cordialidad,Educación",,
1980,Mujer,Técnico / Tecnológico,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,9557,C,Confianza,.5,Sí,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,1,0,,,,,,1,1,1,3,3,3,1,1,3,3,3,3,2,2,2,2,2,2,4,3,3,3,4,2,3,3,2,4,"Amistad,Disciplina,Trabajo,Dedicación,Cordialidad,Orgullo","Amistad,Cordialidad,Dedicación,Educación,Orgullo,Disciplina","Educación,Trabajo,Amistad,Dedicación,Orgullo,Disciplina",,
1998,Hombre,Técnico / Tecnológico,Estrato 3,Colombia,Antioquia,Concordia,6114,S,Deshumanización,5,Sí,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,1,,1,,1,,,,1,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Orgullo,Timidez,Cordialidad,Extroversión,Compasión,Dedicación","Educación,Inquietud,Trabajo,Aburrición,Timidez,Orgullo","Vergüenza,Extroversión,Trabajo,Imprudencia,Sorpresa,Orgullo",,
1996,Hombre,Título universitario,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,2487,O,Discriminización,.56666666,No,1,4,1,3,4,1,3,3,2,1,2,4,4,4,2,4,5,2,4,1,0,1,0,1,,,,,,1,1,3,4,4,1,1,3,2,2,4,3,3,3,3,3,3,3,2,4,4,4,3,3,2,4,4,"Amistad,Sorpresa,Extroversión,Orgullo,Educación,Trabajo","Cordialidad,Educación,Disciplina,Amistad,Inquietud,Trabajo","Nostalgia,Orgullo,Emoción,Compasión,Dedicación,Disciplina",,
1982,Hombre,Bachillerato,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,9753,A,Deshumanización,3.3299999,No,4,3,4,4,3,4,4,4,4,4,4,3,3,4,4,3,4,3,4,0,0,0,0,1,,1,1,,,,,4,3,4,1,1,4,4,4,3,3,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,"Tensión,Orgullo,Sorpresa,Nostalgia,Educación,Vergüenza","Disciplina,Aburrición,Vergüenza,Cordialidad,Sorpresa,Educación","Aburrición,Extroversión,Cordialidad,Arrepentimiento,Dedicación,Nostalgia",,
1982,Mujer,Técnico / Tecnológico,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,5373,S,,,No,2,3,2,3,2,3,3,2,2,2,2,3,2,3,3,2,2,2,2,1,1,1,1,,,1,1,1,,,,3,3,3,0,1,1,1,1,3,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,"Amistad,Disciplina,Trabajo,Compasión,Dedicación,Extroversión","Timidez,Aburrición,Inquietud,Trabajo,Sospecha,Orgullo","Imprudencia,Aburrición,Arrepentimiento,Agitación,Tensión,Vergüenza",,
1971,Mujer,Título universitario,Estrato 3,Colombia,Atlántico,Barranquilla,2348,D,Discriminización,,Sí,1,1,3,3,3,3,1,3,3,3,1,3,2,1,1,1,3,1,1,1,0,1,0,,,1,,,1,,1,4,4,4,1,1,3,2,1,4,1,1,1,1,1,1,4,1,3,5,5,1,2,1,5,3,"Emoción,Agitación,Inquietud,Orgullo,Amistad,Educación","Educación,Trabajo,Amistad,Orgullo,Emoción,Inquietud","Disciplina,Trabajo,Educación,Amistad,Emoción,Orgullo",,
1998,Hombre,Técnico / Tecnológico,Estrato 3,Colombia,Cundinamarca,Chipaque,8547,B,Discriminización,,Sí,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,1,1,,1,,,,,4,3,3,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,2,1,1,"Vergüenza,Inquietud,Compasión,Educación,Tensión,Trabajo","Inquietud,Aburrición,Cordialidad,Nostalgia,Orgullo,Imprudencia","Dedicación,Tensión,Inquietud,Aburrición,Emoción,Orgullo",,
2000,Mujer,Técnico / Tecnológico,Estrato 2,Colombia,Risaralda,La Celia,4545,A,Confianza,,Sí,1,2,2,1,2,1,2,1,3,2,2,5,2,2,1,2,2,3,2,1,1,1,1,1,,,,,1,,1,4,3,3,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Inquietud,Cordialidad,Amistad,Agitación,Educación,Vergüenza","Sospecha,Educación,Trabajo,Dedicación,Timidez,Inquietud","Inquietud,Emoción,Timidez,Imprudencia,Tensión,Sospecha",,
1972,Hombre,Posgrado,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,1741,C,,,No,1,5,4,1,4,4,2,1,4,2,4,1,4,1,1,4,4,2,4,1,1,1,1,,1,,,1,,,1,4,4,3,1,1,1,1,1,4,2,2,2,2,2,2,5,4,4,4,4,4,2,4,2,4,"Agitación,Tensión,Inquietud,Imprudencia,Impresión,Emoción","Amistad,Educación,Orgullo,Trabajo,Disciplina,Dedicación","Trabajo,Amistad,Dedicación,Educación,Orgullo,Cordialidad",,
1998,Mujer,Primaria,Estrato 2,Colombia,Cundinamarca,Cajicá,3652,F,Confianza,.88,No,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,1,1,,,,1,1,,1,,2,3,3,1,1,1,3,1,1,2,1,1,4,2,3,2,2,2,2,2,3,3,2,2,2,"Dedicación,Sorpresa,Cordialidad,Timidez,Tensión,Emoción","Timidez,Cordialidad,Tensión,Orgullo,Sorpresa,Educación","Orgullo,Dedicación,Amistad,Cordialidad,Agitación,Nostalgia",,
1984,Hombre,Posgrado,Estrato 2,Colombia,Cundinamarca,Madrid,2350,C,Discriminización,,Sí,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,1,1,4,4,3,1,1,2,2,1,3,2,2,2,2,2,2,5,5,5,5,5,1,5,5,4,5,"Educación,Cordialidad,Dedicación,Disciplina,Sorpresa,Trabajo","Amistad,Dedicación,Inquietud,Cordialidad,Timidez,Emoción","Tensión,Extroversión,Imprudencia,Agitación,Orgullo,Impresión",,
1978,Hombre,Posgrado,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,459,B,Deshumanización,,Sí,1,2,2,3,3,1,1,3,2,1,1,3,2,2,2,1,3,1,3,1,1,1,0,,,1,,,,1,1,4,3,3,0,1,2,3,2,3,4,4,3,3,4,4,3,3,2,4,4,4,2,3,3,3,"Educación,Trabajo,Nostalgia,Orgullo,Inquietud,Dedicación","Educación,Trabajo,Amistad,Cordialidad,Dedicación,Compasión","Trabajo,Orgullo,Imprudencia,Amistad,Disciplina,Extroversión",,
2001,Mujer,Técnico / Tecnológico,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,4903,H,,,No,1,1,2,4,3,1,4,4,1,3,1,1,3,1,1,2,4,2,2,1,1,0,0,1,,,,,1,1,,1,1,1,0,1,1,1,1,2,1,1,1,3,1,4,1,1,1,1,4,1,1,1,2,4,"Trabajo,Orgullo,Educación,Disciplina,Dedicación,Emoción","Aburrición,Imprudencia,Arrepentimiento,Inquietud,Sospecha,Tensión","Imprudencia,Vergüenza,Arrepentimiento,Sospecha,Tensión,Inquietud",,
1992,Hombre,Técnico / Tecnológico,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,1441,R,Deshumanización,,Sí,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,1,4,3,1,1,1,0,0,,,,,,1,1,1,3,3,3,1,1,3,3,3,3,1,1,1,1,1,1,3,2,4,3,5,1,1,3,4,1,"Educación,Trabajo,Cordialidad,Dedicación,Disciplina,Orgullo","Inquietud,Nostalgia,Educación,Cordialidad,Compasión,Trabajo","Orgullo,Educación,Amistad,Trabajo,Disciplina,Tensión",,
1970,Mujer,Primaria,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,2165,P,,,No,1,1,1,5,5,5,1,5,5,1,2,1,5,5,1,1,1,5,5,1,1,1,1,,,1,,,,1,1,3,4,3,1,1,2,1,1,1,3,4,2,3,1,4,5,5,1,5,5,1,5,1,1,5,"Nostalgia,Orgullo,Emoción,Trabajo,Cordialidad,Agitación","Orgullo,Amistad,Sospecha,Imprudencia,Arrepentimiento,Cordialidad","Trabajo,Nostalgia,Cordialidad,Amistad,Arrepentimiento,Sorpresa",,
1985,Mujer,Título universitario,Estrato 3,Colombia,Meta,Villavicencio,4355,P,Discriminización,.40000001,No,1,3,5,5,3,4,1,1,5,1,3,1,1,3,1,1,3,1,5,1,1,1,1,,1,,,1,,,1,4,3,4,1,0,1,4,1,4,1,1,1,3,1,1,5,4,4,5,5,4,5,3,2,4,"Imprudencia,Aburrición,Tensión,Emoción,Compasión,Inquietud","Inquietud,Arrepentimiento,Compasión,Amistad,Disciplina,Trabajo","Disciplina,Trabajo,Educación,Inquietud,Dedicación,Tensión",,
1992,Mujer,Técnico / Tecnológico,Estrato 3,Colombia,Antioquia,Medellín,5660,B,Discriminización,.53333336,No,1,1,5,1,3,5,5,1,1,2,4,4,5,1,5,1,4,4,1,1,1,1,0,,1,,,,1,,1,1,4,5,0,1,3,4,1,4,5,2,1,5,3,5,5,4,2,4,5,4,1,5,5,4,"Orgullo,Dedicación,Cordialidad,Educación,Compasión,Disciplina","Dedicación,Disciplina,Trabajo,Educación,Orgullo,Compasión","Timidez,Imprudencia,Impresión,Sospecha,Educación,Dedicación",,
1992,Mujer,Técnico / Tecnológico,Estrato 1,Colombia,Bogotá D.C.,Bogotá D.C.,2109,D,Deshumanización,,Sí,2,1,3,5,2,2,3,1,1,1,3,3,1,3,1,1,3,2,3,1,1,1,1,,1,,,,,1,1,3,3,3,0,1,2,1,1,3,3,1,3,1,1,2,4,3,3,3,4,3,4,5,4,5,"Emoción,Extroversión,Educación,Orgullo,Dedicación,Trabajo","Nostalgia,Educación,Cordialidad,Trabajo,Compasión,Sorpresa","Trabajo,Extroversión,Arrepentimiento,Sospecha,Tensión,Orgullo",,
1985,Mujer,Título universitario,Estrato 3,Colombia,Meta,Villavicencio,4355,P,Tolerancia a la ambigüedad,3.9000001,No,1,1,1,1,3,3,1,1,3,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,,,,1,,,1,4,3,4,1,0,1,4,1,4,1,1,1,3,1,1,5,5,4,5,5,4,5,2,1,4,"Agitación,Vergüenza,Imprudencia,Sospecha,Tensión,Orgullo","Timidez,Nostalgia,Trabajo,Compasión,Disciplina,Inquietud","Tensión,Trabajo,Educación,Disciplina,Sospecha,Inquietud",,
1998,Hombre,Primaria,Estrato 1,Colombia,Bogotá D.C.,Bogotá D.C.,3535,Ñ,Discriminización,.63333333,No,5,1,1,4,4,1,1,1,1,4,1,3,1,1,1,3,1,2,1,0,1,0,0,1,,,,,,1,1,3,3,3,0,1,4,3,3,3,4,4,4,4,4,4,3,4,1,1,1,3,1,4,1,1,"Dedicación,Aburrición,Cordialidad,Extroversión,Impresión,Nostalgia","Amistad,Timidez,Arrepentimiento,Sorpresa,Agitación,Vergüenza","Dedicación,Amistad,Inquietud,Impresión,Emoción,Tensión",,
1994,Mujer,Bachillerato,Estrato 1,Colombia,Bogotá D.C.,Bogotá D.C.,9852,F,Tolerancia a la ambigüedad,,Sí,3,3,3,3,4,4,4,4,3,3,3,4,3,3,4,4,4,4,3,1,1,1,1,,1,1,1,,,,,2,1,4,1,1,2,1,2,2,4,2,4,3,3,2,2,2,1,2,3,2,2,2,2,2,"Educación,Inquietud,Timidez,Emoción,Extroversión,Disciplina","Vergüenza,Agitación,Arrepentimiento,Amistad,Trabajo,Compasión","Compasión,Arrepentimiento,Imprudencia,Sorpresa,Amistad,Timidez",,
1996,Mujer,Técnico / Tecnológico,Estrato 1,Colombia,Antioquia,Medellín,4088,V,Confianza,1,No,1,2,4,2,2,4,3,4,3,3,3,4,1,2,1,2,2,1,3,1,1,1,1,,1,,,,,1,1,4,3,3,1,1,3,2,2,3,2,2,3,3,2,3,3,5,5,4,3,4,4,4,2,3,"Extroversión,Educación,Impresión,Emoción,Sorpresa,Orgullo","Agitación,Vergüenza,Inquietud,Emoción,Sorpresa,Amistad","Dedicación,Impresión,Orgullo,Emoción,Amistad,Cordialidad",,
1999,Mujer,Técnico / Tecnológico,Estrato 2,Colombia,Antioquia,Medellín,5316,E,Deshumanización,2.3299999,No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,,,,,1,1,,1,1,3,0,0,1,1,1,1,1,1,5,5,5,5,2,1,5,1,5,1,1,1,1,1,"Educación,Disciplina,Dedicación,Amistad,Trabajo,Cordialidad","Trabajo,Disciplina,Educación,Impresión,Aburrición,Cordialidad","Tensión,Imprudencia,Vergüenza,Aburrición,Sospecha,Arrepentimiento",,
1998,Mujer,Bachillerato,Estrato 3,Colombia,Cundinamarca,Girardot,1997,C,Confianza,,Sí,1,3,1,1,5,4,2,1,2,2,3,4,4,1,2,3,4,1,2,1,1,1,1,1,,,,1,1,,,2,2,2,1,0,3,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,"Sospecha,Orgullo,Compasión,Disciplina,Cordialidad,Imprudencia","Aburrición,Sorpresa,Orgullo,Timidez,Inquietud,Cordialidad","Emoción,Vergüenza,Sospecha,Orgullo,Compasión,Imprudencia",,
1999,Mujer,Título universitario,Estrato 6,Colombia,Santander,Bucaramanga,2523,G,Confianza,1,Sí,2,3,4,4,2,3,3,3,2,2,4,4,2,4,2,4,4,2,4,1,1,1,1,,,1,,,1,,1,4,4,4,1,1,3,4,2,5,3,5,5,2,2,5,4,4,5,5,5,3,3,3,4,5,"Trabajo,Inquietud,Amistad,Orgullo,Educación,Emoción","Amistad,Educación,Compasión,Emoción,Disciplina,Cordialidad","Educación,Cordialidad,Dedicación,Sospecha,Disciplina,Trabajo",,
1997,Mujer,Técnico / Tecnológico,Estrato 2,Colombia,Santander,Piedecuesta,3119,L,Discriminización,.56666666,No,3,3,4,4,3,3,3,3,3,2,2,3,2,3,3,3,3,2,3,0,0,0,0,1,,,1,,,,1,3,3,3,0,0,2,2,1,2,3,3,3,3,3,3,4,3,4,3,4,4,3,4,4,4,"Sospecha,Timidez,Emoción,Imprudencia,Amistad,Dedicación","Imprudencia,Tensión,Extroversión,Amistad,Compasión,Impresión","Tensión,Trabajo,Imprudencia,Amistad,Extroversión,Educación",,
1999,Mujer,Técnico / Tecnológico,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,3446,O,Tolerancia a la ambigüedad,4.1999998,No,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,,1,,,1,,,1,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,"Inquietud,Vergüenza,Educación,Nostalgia,Disciplina,Compasión","Educación,Cordialidad,Trabajo,Extroversión,Nostalgia,Agitación","Trabajo,Vergüenza,Nostalgia,Agitación,Dedicación,Extroversión",,
1985,Mujer,Bachillerato,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,3016,C,Tolerancia a la ambigüedad,3.9000001,No,3,3,2,3,3,3,3,3,3,3,4,1,1,3,1,3,3,3,3,1,0,0,0,,1,1,,1,,,,4,5,5,0,1,3,1,1,3,3,3,3,3,3,3,5,3,4,3,5,1,5,4,3,3,"Amistad,Sospecha,Inquietud,Disciplina,Timidez,Tensión","Amistad,Arrepentimiento,Agitación,Imprudencia,Extroversión,Orgullo","Emoción,Amistad,Inquietud,Aburrición,Disciplina,Dedicación",,
1995,Hombre,Bachillerato,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,5667,M,,,No,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,,,,1,1,,,5,4,5,1,1,5,5,5,4,5,5,4,4,4,4,5,4,4,5,1,4,5,5,4,5,"Disciplina,Dedicación,Orgullo,Inquietud,Tensión,Trabajo","Emoción,Sorpresa,Orgullo,Dedicación,Amistad,Disciplina","Dedicación,Inquietud,Nostalgia,Vergüenza,Educación,Tensión",,
2004,Hombre,Técnico / Tecnológico,Estrato 1,Colombia,Boyacá,Garagoa,6138,C,Deshumanización,3.6700001,No,1,4,2,2,3,1,2,1,2,1,3,4,3,1,1,3,5,1,3,1,1,1,1,1,,,,,,1,1,3,3,4,1,1,2,4,3,3,3,3,3,2,2,2,2,3,3,5,5,4,2,3,2,4,"Educación,Cordialidad,Trabajo,Dedicación,Nostalgia,Compasión","Arrepentimiento,Sospecha,Emoción,Nostalgia,Disciplina,Trabajo","Emoción,Impresión,Agitación,Inquietud,Orgullo,Imprudencia",,
2004,Mujer,Bachillerato,Estrato 2,Colombia,Cundinamarca,Fusagasugá,703,A,Discriminización,.36666667,No,2,3,4,5,1,3,5,4,4,3,5,3,4,4,3,1,4,4,4,1,1,0,0,,,,1,,1,,1,2,1,1,0,1,1,2,1,3,1,3,3,3,1,3,4,5,1,5,5,5,5,4,4,5,"Sospecha,Inquietud,Tensión,Imprudencia,Arrepentimiento,Aburrición","Trabajo,Impresión,Orgullo,Sorpresa,Disciplina,Compasión","Extroversión,Educación,Emoción,Trabajo,Timidez,Sorpresa",,
1988,Mujer,Posgrado,Estrato 4,Colombia,Bogotá D.C.,Bogotá D.C.,1865,R,Deshumanización,2.6700001,No,3,3,4,4,4,3,2,3,3,1,4,5,4,4,3,4,5,1,5,1,1,1,0,1,,,,,,1,1,3,3,3,1,1,2,3,2,3,3,3,2,3,3,4,5,3,4,5,5,4,5,4,1,4,"Orgullo,Sospecha,Trabajo,Educación,Disciplina,Agitación","Cordialidad,Compasión,Amistad,Disciplina,Educación,Trabajo","Sospecha,Trabajo,Disciplina,Imprudencia,Agitación,Orgullo",,
1994,Mujer,Técnico / Tecnológico,Estrato 2,Colombia,Antioquia,Medellín,4993,G,Deshumanización,1,Sí,1,4,5,5,5,2,5,1,4,5,5,5,3,1,4,3,4,5,3,1,1,1,1,,,,1,,1,,1,2,1,1,0,1,1,5,1,1,4,4,4,1,1,4,5,4,4,3,5,2,3,4,1,3,"Trabajo,Tensión,Emoción,Educación,Dedicación,Disciplina","Trabajo,Cordialidad,Disciplina,Dedicación,Emoción,Tensión","Emoción,Cordialidad,Educación,Dedicación,Trabajo,Inquietud",,
1946,Otro,Posgrado,Estrato 6,Colombia,Bogotá D.C.,Bogotá D.C.,6240,Z,Confianza,.88,No,1,2,2,2,2,1,2,1,3,1,3,3,3,3,1,1,3,1,1,1,0,1,0,,,,,,1,1,1,4,4,4,1,1,3,3,3,3,3,2,2,3,2,3,4,3,1,5,5,3,3,3,3,5,"Imprudencia,Agitación,Sospecha,Tensión,Aburrición,Emoción","Educación,Disciplina,Trabajo,Dedicación,Compasión,Inquietud","Orgullo,Inquietud,Tensión,Sospecha,Impresión,Emoción",,
1993,Mujer,Título universitario,Estrato 2,Colombia,Bogotá D.C.,Bogotá D.C.,6646,D,Confianza,.63,Sí,3,3,1,5,3,2,3,2,3,3,4,1,3,3,5,4,3,4,3,1,1,1,1,,1,,,1,,1,,4,4,4,1,1,4,3,1,3,1,1,1,1,1,1,5,5,4,5,4,5,5,4,5,4,"Inquietud,Orgullo,Dedicación,Disciplina,Educación,Emoción","Vergüenza,Sospecha,Tensión,Inquietud,Cordialidad,Extroversión","Timidez,Tensión,Arrepentimiento,Inquietud,Sospecha,Aburrición",,
