year_of_birth,gender,education_level,social_stratum,nationality,department,municipality,id_last_four,last_name_initial,form,score,video,fake_news_a,fake_news_b,fake_news_c,fake_news_d,fake_news_e,fake_news_f,fake_news_g,fake_news_h,fake_news_i,fake_news_j,fake_news_k,fake_news_l,fake_news_m,fake_news_n,fake_news_o,fake_news_p,fake_news_q,fake_news_r,fake_news_s,tweet_a_lack_of_information,tweet_a_report,tweet_b_lack_of_information,tweet_b_report,headline_1,headline_2,headline_3,headline_4,headline_5,headline_6,headline_7,headline_8,ie_confidence_a,ie_confidence_b,ie_confidence_c,ie_confidence_d,ie_confidence_e,ie_confidence_f,ie_confidence_g,ie_confidence_h,ie_confidence_i,ie_discrimination_a,ie_discrimination_b,ie_discrimination_c,ie_discrimination_d,ie_discrimination_e,ie_discrimination_f,ie_ambiguity_tolerance_a,ie_ambiguity_tolerance_b,ie_ambiguity_tolerance_c,ie_ambiguity_tolerance_d,ie_ambiguity_tolerance_e,ie_ambiguity_tolerance_f,ie_ambiguity_tolerance_g,ie_ambiguity_tolerance_h,ie_ambiguity_tolerance_i,ie_ambiguity_tolerance_j,ie_dehumanization_left,ie_dehumanization_center,ie_dehumanization_right,duration,date
1989,Mujer,Posgrado,Estrato 2,Colombia,Quindío,Armenia,9443,G,Tolerancia a la ambigüedad,3.9000001,No,2,2,3,2,3,2,3,1,1,2,2,3,3,1,3,2,3,1,2,1,1,1,0,,,,,,1,1,1,2,2,2,0,1,1,1,1,3,3,3,3,3,2,2,4,4,4,3,4,3,3,3,3,4,"Educación,Orgullo,Trabajo,Amistad,Sorpresa,Tensión","Educación,Agitación,Sospecha,Imprudencia,Sorpresa,Trabajo","Vergüenza,Aburrición,Imprudencia,Tensión,Orgullo,Impresión",00:16:03,2022-04-11
2000,Hombre,Bachillerato,Estrato 1,Colombia,Magdalena,Santa Marta,1159,R,Deshumanización,3.3299999,No,3,4,4,4,3,4,3,3,3,4,4,4,3,3,3,3,4,5,4,1,1,1,1,1,,1,,,,,1,3,3,3,1,1,3,3,4,3,4,4,3,3,4,3,3,2,3,4,4,3,4,5,4,4,"Nostalgia,Vergüenza,Dedicación,Aburrición,Extroversión,Sorpresa","Orgullo,Inquietud,Disciplina,Extroversión,Trabajo,Cordialidad","Emoción,Disciplina,Tensión,Extroversión,Sorpresa,Compasión",00:05:19,2022-04-11
2004,Mujer,Bachillerato,Estrato 1,Colombia,Magdalena,Santa Marta,7855,P,Tolerancia a la ambigüedad,3.9000001,No,4,3,5,5,5,5,3,5,5,4,4,5,4,5,5,5,5,5,5,1,1,1,1,,,,1,,1,,1,5,5,5,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,"Amistad,Emoción,Inquietud,Dedicación,Cordialidad,Educación","Tensión,Nostalgia,Amistad,Aburrición,Trabajo,Vergüenza","Vergüenza,Aburrición,Amistad,Trabajo,Impresión,Cordialidad",00:03:58,2022-04-11
1997,Hombre,Bachillerato,Estrato 3,Colombia,Bogotá D.C.,Bogotá D.C.,7759,M,Discriminización,,Sí,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,1,1,,1,1,,,,,3,3,3,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Inquietud,Dedicación,Emoción,Timidez,Arrepentimiento,Vergüenza","Timidez,Inquietud,Sorpresa,Vergüenza,Imprudencia,Orgullo","Tensión,Vergüenza,Sorpresa,Sospecha,Timidez,Orgullo",00:11:56,2022-04-11
1996,Mujer,Bachillerato,Estrato 2,Colombia,Magdalena,Santa Marta,2986,V,Tolerancia a la ambigüedad,2.7,Sí,4,4,3,2,3,4,3,2,3,2,3,2,2,5,2,3,4,1,2,0,1,1,0,1,,1,1,,,,,1,1,4,1,1,3,3,4,3,1,4,2,2,2,4,2,2,4,1,3,3,2,1,2,2,"Timidez,Extroversión,Imprudencia,Compasión,Amistad,Impresión","Sospecha,Trabajo,Extroversión,Agitación,Dedicación,Aburrición","Disciplina,Timidez,Aburrición,Cordialidad,Vergüenza,Inquietud",00:03:58,2022-04-11
1994,Hombre,Técnico / Tecnológico,Estrato 2,Colombia,Guainía,Puerto Colombia,5223,L,,,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,0,0,1,1,,,1,,,1,,1,1,3,3,1,1,3,1,3,4,1,2,4,4,2,1,3,3,3,1,3,2,2,3,3,3,"Amistad,Educación,Impresión,Dedicación,Trabajo,Imprudencia","Arrepentimiento,Aburrición,Impresión,Vergüenza,Inquietud,Cordialidad","Amistad,Compasión,Inquietud,Cordialidad,Educación,Aburrición",00:02:39,2022-04-11
2000,Hombre,Bachillerato,Estrato 1,Colombia,Magdalena,Santa Marta,1459,R,Confianza,1,No,4,4,4,4,5,4,4,3,5,5,3,4,4,4,4,4,4,5,4,1,1,1,1,1,1,,,1,,,,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,"Sorpresa,Arrepentimiento,Cordialidad,Trabajo,Agitación,Educación","Impresión,Dedicación,Nostalgia,Amistad,Inquietud,Tensión","Nostalgia,Arrepentimiento,Educación,Inquietud,Sospecha,Orgullo",00:02:42,2022-04-11
1994,Hombre,Técnico / Tecnológico,Estrato 3,Colombia,Quindío,Armenia,2318,C,Deshumanización,1,Sí,4,4,3,4,3,3,3,4,3,4,3,4,3,4,4,4,3,4,4,1,1,1,1,,,,,,1,1,1,1,4,2,0,1,1,1,1,2,3,2,2,2,2,4,4,1,1,3,4,3,5,3,1,3,"Educación,Trabajo,Orgullo,Sospecha,Disciplina,Cordialidad","Arrepentimiento,Sorpresa,Extroversión,Vergüenza,Inquietud,Aburrición","Tensión,Inquietud,Aburrición,Imprudencia,Sorpresa,Agitación",00:18:30,2022-04-11
1993,Mujer,Título universitario,Estrato 3,Colombia,Cundinamarca,Soacha,4946,C,,,No,1,2,5,3,1,1,5,5,1,1,1,1,1,1,5,1,5,1,5,0,1,0,1,,1,,,,,1,1,3,5,5,1,1,1,1,1,2,4,5,4,3,5,5,5,1,5,3,5,1,5,3,1,5,"Cordialidad,Trabajo,Compasión,Dedicación,Educación,Amistad","Tensión,Extroversión,Imprudencia,Vergüenza,Timidez,Sospecha","Trabajo,Tensión,Agitación,Dedicación,Sospecha,Inquietud",00:07:14,2022-04-11
1995,Mujer,Bachillerato,Estrato 2,Colombia,Magdalena,Santa Marta,5780,G,Discriminización,.5,No,2,1,3,3,1,3,3,1,3,3,1,3,1,1,3,2,2,2,4,0,1,0,0,,1,1,,,,,1,2,3,2,0,0,1,1,4,2,3,2,3,3,2,1,4,2,3,3,4,1,4,4,3,3,"Compasión,Aburrición,Agitación,Emoción,Sospecha,Amistad","Emoción,Trabajo,Extroversión,Impresión,Agitación,Imprudencia","Aburrición,Imprudencia,Timidez,Cordialidad,Disciplina,Sorpresa",00:02:10,2022-04-11
2003,Hombre,Bachillerato,Estrato 1,Colombia,Magdalena,Santa Marta,8790,T,,,No,5,5,5,5,5,4,5,4,5,4,4,5,5,5,5,5,5,5,4,1,1,1,1,,,1,1,,,,1,3,4,4,1,1,2,4,5,3,5,5,3,2,4,4,5,4,4,5,3,5,4,4,4,4,"Sorpresa,Emoción,Extroversión,Dedicación,Educación,Disciplina","Inquietud,Disciplina,Agitación,Emoción,Arrepentimiento,Sospecha","Sorpresa,Emoción,Timidez,Dedicación,Cordialidad,Disciplina",00:03:39,2022-04-11
